Svc,BatteryNode,P_BESS,E_BESS,f1,Annual_Revenue,f2,f3,f4,s_m_PS,s_m_PS_BESS,f5,f5_PS,threshold_peak_demand,P_CB_max,p_1,p_2,p_3,p_4,p_5,Time
PS,bus3035,750,3000,1327500.0,-6562.5,0.2420601092506188,0.5213007210753293,0.16620405322956536,4310,3571,82.8538283062645,0.4661469520037531,1500,2361.60449782036,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.12617026170095
PS,bus3036,750,3000,1327500.0,-6562.5,0.24206006677617,0.522991506196389,0.19596082043293486,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604497820384,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.242258203029632
PS,bus3037,750,3000,1327500.0,-6562.5,0.2420600604300725,0.523841422865045,0.22245925850607431,4310,3571,82.8538283062645,0.4661469520037531,1500,2361.6046034752644,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.29350803693136
PS,bus3038,750,3000,1327500.0,-6562.5,0.24206002978958,0.5254031252003958,0.24251502669543626,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604603475256,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.15435432593028
PS,bus3039,750,3000,1327500.0,-6562.5,0.2420600024958318,0.5268472705087114,0.25369299675177653,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604573739357,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.314402107397715
PS,bus3040,750,3000,1327500.0,-6562.5,0.242060124093091,0.5220520896235317,0.2856138097887205,4310,3571,82.8538283062645,0.4661469520037531,1500,2361.6046032648023,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.208289833863574
PS,bus3046,750,3000,1327500.0,-6562.5,0.2420601049847019,0.5227553702093742,0.42557503071699815,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604494259811,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.268984484672547
PS,bus3047,750,3000,1327500.0,-6562.5,0.2420601001065284,0.5231128193223924,0.5459588728229627,4310,3570,82.830626450116,0.4662629612844957,1500,2361.604468189655,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.2562216202418
PS,bus3048,750,3000,1327500.0,-6562.5,0.2420601038171156,0.5229919898349137,0.5572170086053659,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604573844563,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,20.63391051689784
PS,bus3049,750,3000,1327500.0,-6562.5,0.2420600914680071,0.5233878202920785,0.6869350190470312,4310,3571,82.8538283062645,0.4661469520037531,1500,2361.604573844564,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.737485639254253
PS,bus3050,750,3000,1327500.0,-6562.5,0.2420600886524252,0.5236694346375494,0.811763136465625,4310,3570,82.830626450116,0.4662629612844957,1500,2361.6044647342924,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.779758834838866
PS,bus3051,750,3000,1327500.0,-6562.5,0.2420600895876152,0.5242440236142212,0.9331349148481529,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604497820348,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.875253335634863
